"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"RPL3",-0.194429985180324,10.7516659642017,-1.28265631485932,0.21597846419973,0.38724492418934,-6.69889740348826,"RPL3",0.157905562530044,0.665589551374559,""
"PCYT2",-0.194430896006038,13.9002625345129,-1.58333837600054,0.126491505113566,0.267765301505196,-6.47611625552986,"PCYT2",0.109185757950778,0.897938639754424,""
"ETF1",-0.19459590112619,9.96892655266564,-1.12733695245344,0.273013491504776,0.456671310746155,-6.97418485919658,"ETF1",0.18621532707152,0.563815890903198,""
"PRDX6",-0.194665350467442,18.2824762397142,-1.73768812243033,0.0951396388334137,0.217081447466858,-6.23728179207713,"PRDX6",0.0885185729647684,1.02163850157024,""
"NCSTN",-0.195358159731132,11.3149967573066,-0.596942171784294,0.556160469550132,0.711891933482206,-7.53155263422055,"NCSTN",0.290285783480393,0.254799882905074,""
"DDX6",-0.195636721220334,12.154045450499,-1.98088532180556,0.0592268299231106,0.153817774264921,-5.82682863490856,"DDX6",0.0627217573561941,1.22748151206181,""
"TIMM50",-0.196427742443808,13.3143751289057,-2.09695448834995,0.0467624842350038,0.129810116276024,-5.61730839912805,"TIMM50",0.0529322352657455,1.33010242520704,""
"MICOS10",-0.196867268783929,13.330684441083,-0.749476643235126,0.460885521978421,0.63173101719456,-7.42679184100146,"MICOS10",0.257598835792641,0.336406934365476,""
"SYNPO",-0.198136787870212,14.4732810660102,-2.26058697403099,0.0331749535317777,0.100579149372826,-5.3082115007991,"SYNPO",0.041012822037001,1.47918967678023,"+"
"CDC42",-0.198508024699679,13.8862508345485,-2.47222759098249,0.0209399894988032,0.0691237023593711,-4.88662665882345,"CDC42",0.0281863400225718,1.67902354045149,"+"
"TPPP3",-0.19854790951222,10.9401725676213,-1.69493760753703,0.103082159147685,0.230665472619762,-6.30518617630432,"TPPP3",0.0940576852918876,0.986816493340916,""
"CIRBP",-0.198966169203292,14.8340989775472,-1.80714905470921,0.0833476019471741,0.197959200641338,-6.12417354811598,"CIRBP",0.0807211585812407,1.07910689105003,""
"COPA",-0.199269810970588,11.4865032636588,-1.69294946791015,0.103464799070692,0.231340824172126,-6.30831190239824,"COPA",0.0943330711268468,0.985207381314694,""
"AGFG1",-0.200150130042182,9.97048578648188,-1.39683295978287,0.177851930087089,0.338664154297571,-6.644537037866,"AGFG1",0.138095945105203,0.749941417396255,""
"PPP2CA",-0.200539013216513,11.9972995315754,-0.718004667971796,0.480706065999373,0.649562286679364,-7.37782158016007,"PPP2CA",0.264869832680508,0.318120397502239,""
"SLC25A11",-0.200817891404887,15.7825564460254,-1.32450125255325,0.197865896212631,0.366295080828298,-6.83535702561433,"SLC25A11",0.149362915243532,0.703629053509614,""
"TTR",-0.201428724882383,13.8221931984192,-1.433270981158,0.164736113863782,0.322265726505909,-6.6909357242055,"TTR",0.131409213263665,0.783211183268093,""
"CAPNS1",-0.201510412875985,13.0494063816731,-1.79193017263938,0.0858178089306776,0.201884617055666,-6.14924562793549,"CAPNS1",0.082321812452603,1.06642257791176,""
"KRT5",-0.202566316792392,17.0129700462404,-0.583669003896726,0.564912433518295,0.718568615435271,-7.53958251003022,"KRT5",0.293008311662886,0.248018866494047,""
"ATP6V1F",-0.202570004099288,10.2135825746207,-0.824692972623999,0.422556926040917,0.598395805209848,-7.01881233149387,"ATP6V1F",0.244005848327348,0.374114775471502,""
"AIMP2",-0.203079467757162,14.2170384407918,-1.55019630940823,0.13423906194347,0.280432259330081,-6.52506950426382,"AIMP2",0.11435092081268,0.872121091335087,""
"PKIA",-0.203769690905817,12.2465926567398,-1.71030738179268,0.10016427845867,0.225369626532008,-6.28092504565771,"PKIA",0.0918982159139226,0.999287133102227,""
"OXSR1",-0.203775486027894,15.0432004181124,-2.00459065953283,0.0564651142880897,0.148943001928583,-5.78472261623452,"OXSR1",0.0607339878080543,1.24821978848974,""
"EIF2S2",-0.20437078645544,11.4239712412467,-2.05119751825351,0.0513658439638556,0.138949948416403,-5.70090495622724,"EIF2S2",0.0566591539298908,1.28932557183808,""
"SNX9",-0.205183173752587,11.1023433266711,-1.52555075237849,0.140250044998344,0.289189934283328,-6.5609239201438,"SNX9",0.117922008523753,0.853096990731129,""
