"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated"
"FBLN5",0.206080296986512,12.7984126724169,1.43920511763875,0.156834706137606,0.449011378147685,-5.15531062821033,"FBLN5",0.301776411657463,0.804557825476826,"no"
"EIF4A1",0.205945835840124,13.3087700762927,1.93389787576766,0.0591351950457861,0.274535857193239,-4.40001337416081,"EIF4A1",0.184513021021555,1.22815396641588,"no"
"LAMTOR1",0.205932343198565,11.3904742801941,2.3933906773822,0.0207218455749736,0.159309548780397,-3.5220148070783,"LAMTOR1",0.107070480423115,1.68357156710574,"no"
"RCN3",0.205926929347335,9.73471332782138,0.844841637860123,0.408607641687058,0.702454282041615,-5.32727762869243,"RCN3",0.472113053042085,0.388693515551128,"no"
"PBXIP1",0.205641673745784,13.8148891187134,1.84397138336666,0.0714704046620394,0.307055794737646,-4.55361612650806,"PBXIP1",0.206369371521983,1.14587375893713,"no"
"ACAA1",0.205557299494632,12.3586685523033,1.84114297011656,0.0718913151050681,0.307055794737646,-4.55834576727931,"ACAA1",0.206369371521983,1.14332357178351,"no"
"VPS25",0.205206081461718,13.1574285441843,2.26620651291144,0.0280649520602777,0.186862024918662,-3.78003200909322,"VPS25",0.125588245865016,1.55183569529268,"no"
"RPS27",0.205180631116532,12.0271794838046,2.27020762235851,0.0278025405885586,0.185973838786113,-3.77208416952279,"RPS27",0.124991304145921,1.55591551655754,"no"
"COX7A1",0.205078337744471,17.1973255575471,1.19256495339292,0.239001617125101,0.553447118210174,-5.46995144519502,"COX7A1",0.37196671065359,0.621599160532482,"no"
"ATP5MK",0.204935298693606,16.2875458530085,1.34607513719633,0.184708982896592,0.491432465853552,-5.28636659148527,"ATP5MK",0.330287233987387,0.733511983132815,"no"
"ARHGAP1",0.204513299168761,12.6130413689699,2.16665170250362,0.0353430043022268,0.213614007134843,-3.97416910662707,"ARHGAP1",0.143568006714791,1.45169653642453,"no"
"PDLIM5",0.204437965119197,18.3110022103474,2.01111995355594,0.0500441188707984,0.251047713828714,-4.26318509365804,"PDLIM5",0.168726856202563,1.30064695299053,"no"
