"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated"
"FTL",1.10939758683956,12.7423568140788,5.72557172845967,6.9024884947617e-07,0.000994993716519899,5.82624419691544,"FTL",0.000668726112535921,6.16099430858086,"yes"
"ZC3H8",0.893262485564669,14.6402938871073,1.86314269713684,0.0736923796103617,0.312434015318637,-4.33773443813332,"ZC3H8",0.20998402403865,1.13257741939031,"no"
"ALDH1A1",0.810739229065055,16.3811727325417,4.76236908781132,1.85615153137025e-05,0.00356752324329361,2.79520407118691,"ALDH1A1",0.00239769951333312,4.73138657200099,"yes"
"ANKRD1",0.729367210691553,11.996936548396,1.23325057996388,0.229330940171571,0.545690277894953,-5.14230585339229,"ANKRD1",0.366753409721699,0.639537348500302,"no"
"FTH1",0.698982087259189,15.4588795397311,4.96683613615486,9.33307959496719e-06,0.00300577981888678,3.42760999460467,"FTH1",0.00202015693169745,5.02997503037782,"yes"
"TUBB4A",0.662971783972452,11.0471735571441,3.9986260579082,0.000233200580586982,0.0156352854379598,0.488910567713989,"TUBB4A",0.0105083313348816,3.63227037267199,"yes"
"KIAA1191",0.64608702650103,10.4593461545497,2.76223273616762,0.00886922536794864,0.0998871988450734,-2.69590828492414,"KIAA1191",0.0671332663380016,2.05211430949367,"no"
"MICAL3",0.644818565132709,13.5463360818527,2.90267430197886,0.0082077432944847,0.095031822963853,-2.46013357607351,"MICAL3",0.0638700129284166,2.08577623502127,"no"
"GGT5",0.640477667402964,11.2601601898261,2.66606260966879,0.0143863746548156,0.130427415502621,-2.89490138756338,"GGT5",0.0876590646644859,1.84204863384475,"no"
"NDUFC1",0.63965501375073,14.1192421682783,2.55945188337415,0.0137471220473274,0.127463131715856,-3.16890734083442,"NDUFC1",0.0856667968337805,1.86178821163637,"no"
"PANX1",0.636524847147628,10.1445707761887,2.58703265589124,0.0145636495165248,0.131209379862941,-3.0511589592958,"PANX1",0.0881846157088155,1.83672978118487,"no"
"MUSTN1",0.631334372438181,14.8890938795304,2.97479679850995,0.00460977846009623,0.0722282135894426,-2.21137868407857,"MUSTN1",0.0485439170993158,2.33631994573175,"yes"
"COX7C",0.628603366868834,15.4660768546265,3.52797537690328,0.000944896602401694,0.0340589750366605,-0.792912587238958,"COX7C",0.0228907234237478,3.02461571261583,"yes"
"SDHC",0.604559409201386,12.8020209070625,3.52179877404422,0.000962461028675623,0.0340589750366605,-0.809538086311218,"SDHC",0.0228907234237478,3.01661684662339,"yes"
"MYL6B",0.597111625883606,15.0134847699438,0.855689873272992,0.396493073172875,0.692781533307514,-5.79880826576368,"MYL6B",0.465612087708238,0.401764395506718,"no"
"LAP3",0.586111160772212,15.1017221066517,6.88295601404291,1.20610708361251e-08,3.47720672205487e-05,9.54662562070559,"LAP3",2.33699861126412e-05,7.9186141318663,"yes"
"PRR33",0.579477027688794,13.0651720031654,3.9921880982734,0.000232499153270708,0.0156352854379598,0.485905172955501,"PRR33",0.0105083313348816,3.63357862441071,"yes"
"NCSTN",0.572196396606522,11.61353400771,2.89776271974241,0.00568377941749545,0.0799333466372652,-2.39652447719513,"NCSTN",0.0537224660530362,2.24536278500625,"no"
"RBM3",0.57136985687171,13.2155283311526,3.85924816903788,0.000344552994478919,0.0202723731241372,0.12140781161421,"RBM3",0.0136248752591101,3.46274397131882,"yes"
"GIGYF2",0.570112406063853,13.6722435477322,1.83318583172839,0.0730867112185373,0.310322516116411,-4.57161811035937,"GIGYF2",0.208564904872686,1.13616158021175,"no"
"IGFN1",0.567461647309988,12.4512468624097,1.41161413802278,0.167099251151982,0.464421060430526,-5.06006267835164,"IGFN1",0.312133117189695,0.777025496374059,"no"
"RRAD",0.565694141355998,11.6851893509728,2.76655683402419,0.00806379098143423,0.0937415701591729,-2.70415349357416,"RRAD",0.0630028459021965,2.09346073794049,"no"
"AGPS",0.556994616301889,11.0585981772572,3.66090486220747,0.000694198103432435,0.0303238353362987,-0.477553684579287,"AGPS",0.0203803704334417,3.15851657716699,"yes"
"TAPT1",0.543982961038946,13.0984667822184,2.13472668813654,0.040492865099827,0.228903784476081,-3.93033510882739,"TAPT1",0.15384412524015,1.39262149334709,"no"
"SPECC1",0.543840146269829,10.2019211471711,1.29488134506503,0.207103221952259,0.520103300425403,-5.10388013348856,"SPECC1",0.34955663783192,0.683813144635265,"no"
"DDT",0.543337234130899,16.450184607702,2.94886909280473,0.00494808596020612,0.0750806938067065,-2.2740594954751,"DDT",0.0504610427807204,2.30556276423311,"no"
"MACF1",0.530930800126711,12.0836900178582,1.54329779565779,0.135227897244953,0.416964735569197,-4.7900919105302,"MACF1",0.28023815834437,0.868933705067879,"no"
"CES2",0.530382178652916,13.9123201326194,1.74496940523045,0.087499402430218,0.339516523830846,-4.7154239242484,"CES2",0.228185928567691,1.05799491294506,"no"
"COX11",0.52952232904833,11.0339437840986,2.49366738563928,0.0172152452315832,0.142411923987241,-3.26288285932884,"COX11",0.0957137424343161,1.76408678637988,"no"
"MCM7",0.528247736927671,12.9853951078295,3.36620192475264,0.00264664188460122,0.0543263222579367,-1.50817552963042,"MCM7",0.0365122208198358,2.57730481882833,"yes"
"UQCC3",0.524871155236386,11.4924480652476,1.74351185323804,0.0880442323768304,0.340256731826276,-4.7016362539812,"UQCC3",0.228683415543773,1.05529908863434,"no"
"PROB1",0.522960893185902,13.4485747368416,4.57434067764535,3.46785235791323e-05,0.00526200965677045,2.22097670052568,"PROB1",0.00353654822485324,4.45993940067348,"yes"
"AK3",0.521797760602441,14.9934051743348,3.10612552018696,0.0032041283228237,0.0611267470502269,-1.88834704137942,"AK3",0.0410827236877805,2.49429009908647,"yes"
"SMTNL1",0.514915265427071,15.7142852309318,2.32211854645846,0.0245906687651947,0.173260680572277,-3.66796442694361,"SMTNL1",0.116446907604275,1.60922966007445,"no"
"GOT2",0.512186457917274,17.8430490303015,3.73179857343956,0.000510348692731147,0.0246817916614104,-0.23543229972518,"GOT2",0.0165884048452947,3.29213299334602,"yes"
"S100A13",0.508540115747163,13.4841546193037,2.08705406445683,0.0423097212852392,0.23297332144163,-4.12429291419352,"S100A13",0.156579223552441,1.37355983556876,"no"
"MCEE",0.501550745262158,12.7767163783837,2.93057392726269,0.0052005947421449,0.0772851270185761,-2.31806627988105,"MCEE",0.0519426220386022,2.28394698743023,"no"
"MRPL38",0.501291109703166,12.6390602415223,3.20544638761426,0.00242046232423388,0.0522321947701615,-1.63810923863722,"MRPL38",0.0351047770231528,2.61610167299197,"yes"
"SAE1",0.495060589162385,10.7939652445264,3.36038713701614,0.00163634074261287,0.0406564440484636,-1.25624650425065,"SAE1",0.0273248215809406,2.78612625614886,"yes"
"GSTM4",0.494768617420222,11.5381638374516,1.81029044016866,0.0795940010636132,0.323652334367274,-4.46790068136048,"GSTM4",0.217523752945504,1.09911966345765,"no"
"MPO",0.491247103917837,14.7986735597512,0.658443791880302,0.514794508689019,0.782368249104081,-5.78889453103442,"MPO",0.525822494261393,0.288366094360458,"no"
"HLCS",0.49090564409445,15.1014764954018,0.854750825476301,0.398161600705573,0.693125078272438,-5.68348719325252,"HLCS",0.46584298111496,0.399940626292062,"no"
"MRPL4",0.488837838612335,11.7837655981924,3.58556375076126,0.000821419887802362,0.0338307648076316,-0.651283936501382,"MRPL4",0.0227373454307358,3.085434786437,"yes"
"NTMT1",0.486051332395457,14.6940173265028,2.36049229507069,0.0224340097670436,0.166693943707182,-3.5898103225678,"NTMT1",0.112033464239828,1.6490930953843,"no"
"NDUFA4",0.48400299102093,16.3288052740383,3.25275762368098,0.00211440893910878,0.0479987478066978,-1.51718011904054,"NDUFA4",0.0322595163109486,2.67481101380114,"yes"
"MRPL43",0.480374976488058,10.7851088557703,4.20064498974694,0.000120288528251605,0.0118802610117089,1.08656010743913,"MRPL43",0.00798461400345261,3.91977578874151,"yes"
"CTNND1",0.476291253211572,9.81926056986485,2.25289405485154,0.0319493225115739,0.200311840776821,-3.6874072978904,"CTNND1",0.134627743224466,1.49553834666378,"no"
"TNKS1BP1",0.476094867938613,10.0849981519691,1.58089604860207,0.132122485300941,0.411793648781202,-4.55779429930263,"TNKS1BP1",0.276762718542181,0.879023265571505,"no"
"SMTN",0.469014597686243,16.4829326715147,3.30383606657137,0.00182524658132751,0.0434891396195638,-1.38540459560168,"SMTN",0.029228650183884,2.73867845631656,"yes"
"UQCR10",0.46436723081424,17.038825545896,2.80577263685188,0.0072701561648381,0.0891908945669287,-2.61324756224397,"UQCR10",0.0599443787504065,2.13845626028277,"no"
"FMC1",0.455575477656692,12.1115766750838,2.7027866193973,0.00979101720909745,0.106922358385712,-2.83289828733232,"FMC1",0.0718615322682992,2.00917218609788,"no"
"ITPA",0.455400592788711,12.0991390231882,3.47592615096767,0.00110301921637627,0.0357303865259863,-0.932498318754156,"ITPA",0.0240140636912764,2.95741692138259,"yes"
"FKBP3",0.453621053371821,16.116664094886,4.4811280792606,4.71390556921368e-05,0.00617735898001956,1.93925986193607,"FKBP3",0.00415174607423234,4.32661912168021,"yes"
"CYB5R1",0.447905575383743,15.8278642867706,1.89129768909869,0.0647311150566553,0.290232977773464,-4.47355560363369,"CYB5R1",0.195062911186024,1.18888691177117,"no"
"NDUFB1",0.447214158199589,14.2497337727867,1.76563318068975,0.0839265385308989,0.33387437201073,-4.68229129070547,"NDUFB1",0.224393890296133,1.07610068857438,"no"
"MYH7B",0.446971107551761,15.8228849742957,0.523743178679018,0.603649743299752,0.834222886850323,-5.90052717697855,"MYH7B",0.560673518686239,0.219214979714092,"no"
"HSD17B10",0.442021767614493,12.9471849929064,4.10776943289235,0.000157710964599587,0.014208772216894,0.833705162387581,"HSD17B10",0.00954958493782801,3.80213811200044,"yes"
"COX6A2",0.438763582890289,16.2244846448882,3.48411222432641,0.00107657812734645,0.0356755717372393,-0.910622749892687,"COX6A2",0.0239772231766283,2.96795444791736,"yes"
"INTU",0.438507846102606,13.1969473520025,1.1197353762496,0.269160319457686,0.57866457941574,-5.49695213842241,"INTU",0.388915134065756,0.569988964919015,"no"
"RPS6KA5",0.436119038242939,13.4554737712627,1.80054074625777,0.0781680130809457,0.320897141480195,-4.62555034100154,"RPS6KA5",0.215672013182657,1.10697092704695,"no"
"RPS29",0.434435676558545,10.3213828859715,3.29721281734133,0.00198728333168755,0.0465686498987956,-1.42123291662132,"RPS29",0.0312983606788889,2.70174021008379,"yes"
"OVCA2",0.433687936663913,12.2677092308879,5.41875882889974,1.99485639784769e-06,0.00182913355520077,4.8485496292997,"OVCA2",0.00122934381531238,5.70008836206596,"yes"
"HSD17B8",0.430864425100296,12.3206901761125,3.15595930594159,0.00278508188131031,0.0554775794754996,-1.76341450236436,"HSD17B8",0.037285970192166,2.55516203205991,"yes"
"NAMPT",0.429705076101902,13.6577944923882,3.59534882138566,0.000772170335024024,0.0326607470157135,-0.610516407035451,"NAMPT",0.0219509872491747,3.11228688696844,"yes"
"COX20",0.425019196536493,11.2894731368286,1.77463104271939,0.0824092932055065,0.331728185308785,-4.66775787675638,"COX20",0.222951457981094,1.0840238106294,"no"
"RPS7",0.424712243022311,11.6954268476236,3.53402695898592,0.000957159848493266,0.0340589750366605,-0.790261384236371,"RPS7",0.0228907234237478,3.01901552771797,"yes"
"RPS17",0.424562350708433,11.4972199812208,4.04450805139613,0.000192775699438599,0.0150208740940941,0.650440655992467,"RPS17",0.0100953911296727,3.71494771247089,"yes"
"ACTN3",0.423431528549663,16.7538682280037,0.722829130343351,0.473352050196848,0.752315219226675,-5.89974361264386,"ACTN3",0.505624129682634,0.324815737513015,"no"
"ATP6V1E1",0.423391457617729,11.4881826775882,4.70514112217503,2.24682195637158e-05,0.00381034570601133,2.61963737461788,"ATP6V1E1",0.00256089825402223,4.64843134076686,"yes"
"LTBP4",0.420959276548119,10.4139088169419,2.72806538889549,0.00924661303429571,0.102137875011014,-2.77571146137946,"LTBP4",0.068645925059396,2.03401731697774,"no"
"PYURF",0.420746356664067,12.4931403570486,2.75670280905693,0.00827542514563357,0.0954322027794463,-2.72685412753654,"PYURF",0.0641391045147998,2.0822096853275,"no"
"GORASP2",0.42040875365565,12.9423312482557,2.63566358348631,0.0113277845798092,0.114388548179493,-3.00094405782483,"GORASP2",0.0768794896617527,1.94585501854288,"no"
"PPP4R1",0.420245966816834,10.0640952167296,2.81660165654232,0.00741786195721996,0.0902350043150428,-2.57774955188165,"PPP4R1",0.0606461152953963,2.12972125293993,"no"
"ENO2",0.419515271501989,19.3621441873875,2.46863979591513,0.017239598151768,0.142411923987241,-3.36423488117517,"ENO2",0.0957137424343161,1.76347286162637,"no"
"CMC2",0.418550879345068,12.3318600931386,2.83872223999993,0.00665991233630455,0.085435510563932,-2.53617635804454,"CMC2",0.0574204197507586,2.1765314873627,"no"
"FDX2",0.418168723127524,10.4756577838006,1.11206442856886,0.2741002378199,0.58405837814839,-5.39110161425294,"FDX2",0.392540256514672,0.562090587649756,"no"
"ME2",0.415490865303195,13.4248236204625,1.842627316704,0.0716701614364333,0.307055794737646,-4.55586443766453,"ME2",0.206369371521983,1.14466161728471,"no"
"DNAJA4",0.414969835329151,12.0416076320368,2.62846203491325,0.0115384820576766,0.114708426800971,-3.01697046624585,"DNAJA4",0.0770944771370226,1.93785132093208,"no"
"IBA57",0.40943923384534,13.874740455438,3.45069595105792,0.00118846547268105,0.0376521533817524,-0.9997356803088,"IBA57",0.0253056654947046,2.92501343088314,"yes"
"CBR4",0.408986712243552,12.3626737247808,3.78000417518169,0.000448515635104706,0.0232374012422305,-0.111286240826814,"CBR4",0.0156176433480456,3.34822241299593,"yes"
"PELO",0.408737256080821,11.8191878810812,3.03843624697559,0.00386883590491907,0.066789544394501,-2.05598560214091,"PELO",0.0448886376259711,2.41241969030964,"yes"
"TIMMDC1",0.406246851756277,10.0407952922365,1.97789404314195,0.0560447233542548,0.2691634127753,-4.21920124682141,"TIMMDC1",0.180902250610874,1.25146527024127,"no"
"NUDT19",0.405359750343523,12.4333285694854,3.35101875385043,0.0015917983435042,0.0399056923854139,-1.26258043004165,"NUDT19",0.0268202483029635,2.79811195157985,"yes"
"UQCRQ",0.403515362523715,15.8132326755034,3.35173418006724,0.00158848704110607,0.0399056923854139,-1.26071005494467,"UQCRQ",0.0268202483029635,2.79901632380132,"yes"
"RPS13",0.402902617537798,12.1436820432461,3.05891857487133,0.00365516305439902,0.0652370606514344,-2.00551270396591,"RPS13",0.0438452276013256,2.43709324468526,"yes"
"TIMM8B",0.399347427036535,11.7859717391028,2.66275412660587,0.0108453845858022,0.111668727717385,-2.92635701770502,"TIMM8B",0.0750515233799325,1.96475504295543,"no"
"ARPC1A",0.399334437161681,10.6711297762793,2.64694316387695,0.0118403416106841,0.116695744287597,-2.94488176461849,"ARPC1A",0.078430134915701,1.92663576741928,"no"
"GBE1",0.39905050271498,14.6616911709313,4.91112915416637,1.1264169788845e-05,0.00300577981888678,3.25456062225017,"GBE1",0.00202015693169745,4.94830081187715,"yes"
"PON2",0.399042112111244,11.9589811321722,1.3943072765434,0.170355939126288,0.468641385974321,-5.18558981701156,"PON2",0.314969559116594,0.768642721005337,"no"
"MYBPH",0.394654295464941,14.8507210503788,1.03593453270465,0.305511876025183,0.608280896809808,-5.63569486166325,"MYBPH",0.408819988206781,0.514971902960032,"no"
"CRYZ",0.39438011026153,15.3133459400458,3.56187307873157,0.000853827101618179,0.0340589750366605,-0.701381701496718,"CRYZ",0.0228907234237478,3.06863006422354,"yes"
"NT5C",0.39404216349703,12.722645288299,3.54710832334845,0.000892411578380801,0.0340589750366605,-0.741309439261378,"NT5C",0.0228907234237478,3.04943480370166,"yes"
"TXNRD2",0.393163332534085,12.2879195091974,3.52934805430639,0.000955376873772311,0.0340589750366605,-0.795297614323704,"TXNRD2",0.0228907234237478,3.01982527562816,"yes"
"TIMM44",0.392598585248308,13.6058272012501,3.67780945068909,0.000601706400296149,0.0279793476137709,-0.384728876482137,"TIMM44",0.0188046618289112,3.22061536893295,"yes"
"SH3KBP1",0.391264635127113,9.79240024188861,1.56242257319602,0.13117584335618,0.411473644157706,-4.7386787577657,"SH3KBP1",0.276547646382115,0.882146134953081,"no"
"ACTG1",0.390592430090837,8.65469706375298,1.60930186979614,0.117021387823426,0.388504503864694,-4.79123811387221,"ACTG1",0.261110298747236,0.931734755648632,"no"
"GSTZ1",0.390319150824197,13.2926688285988,3.82677949615776,0.000381024073080596,0.0212532612696432,0.0299283802001655,"GSTZ1",0.0142841211472862,3.41904758475537,"yes"
"GNL1",0.38842291070077,10.1997630947195,2.52378859805389,0.0157721864390478,0.136842749477297,-3.19702105933298,"GNL1",0.0919707515407707,1.80210809788267,"no"
"PPP1R12B",0.388270508057984,12.5132046885881,4.16854123270129,0.000129902591826512,0.0120809410398656,1.01093711227127,"PPP1R12B",0.00811948920202395,3.88638218376359,"yes"
"GLRX5",0.388181316913929,13.1814567462442,2.64798288919491,0.0109755112471838,0.112606401870572,-2.97345434850129,"GLRX5",0.0756817255418914,1.95957524086629,"no"
"STX12",0.386506212650765,11.010083653031,2.63068685168809,0.0132875518183113,0.125125928996121,-2.96734270253915,"STX12",0.0840959844125291,1.87655502881952,"no"
"ACSS3",0.385593593613532,11.3613079416841,2.50957190569282,0.015655429653846,0.136642821355738,-3.27180159326413,"ACSS3",0.0918363816916985,1.8053350089328,"no"
"ATP5PO",0.38177219068773,15.9923429786623,2.63175618450652,0.0114416629055074,0.114388548179493,-3.00964360630287,"ATP5PO",0.0768794896617527,1.94151085157425,"no"
"PDPR",0.381193383959847,12.8941028686429,2.15456171368822,0.0364445230131801,0.216638267725769,-3.99003957466165,"PDPR",0.14560058440316,1.43836772945513,"no"
"MRPS17",0.381171581372763,12.0832710443817,3.2017819357489,0.00244583638361839,0.0522321947701615,-1.64742978068611,"MRPS17",0.0351047770231528,2.61157259884036,"yes"
"RSU1",0.380405751186906,12.5939899996923,3.08694649088835,0.00338067006604716,0.0628804632284771,-1.93608854709756,"RSU1",0.0422613801786722,2.47099721180949,"yes"
"GSTM1",0.37880567516835,12.9859424718351,0.783933723640582,0.436996058979783,0.722843696000739,-5.85537523756482,"GSTM1",0.485816590368392,0.359522479668139,"no"
"MIEF1",0.378494583653847,10.4307416887737,2.4304684280709,0.0194098761802881,0.154581969689974,-3.41704632068996,"MIEF1",0.10389311805956,1.7119772350593,"no"
"CYC1",0.377895017902418,17.1136906207075,2.88903015624311,0.00581924337652402,0.080658070454417,-2.41730437842963,"CYC1",0.0542095462555135,2.2351334790549,"no"
"MRPS28",0.376872206278417,12.2461020171037,3.25086770279082,0.00217697702904348,0.0486705844759287,-1.52656460809399,"MRPS28",0.0327110515484226,2.66214615350934,"yes"
"NDUFA7",0.376084230448676,15.650839281474,2.50670084104105,0.0156880936069196,0.136642821355738,-3.28301585137328,"NDUFA7",0.0918363816916985,1.8044298280063,"no"
"AFG1L",0.375564178808883,10.8563753026918,1.67170857321122,0.104915872302246,0.3738843755839,-4.6619746977989,"AFG1L",0.251284245187634,0.979158804162706,"no"
"EZR",0.374923623599097,11.8891785924596,2.99266637048357,0.00438933026122273,0.070695190743604,-2.16796540566541,"EZR",0.0475135865644537,2.35760174081589,"yes"
"NQO2",0.371362796314825,14.4642528884325,1.23193389325622,0.224076829129837,0.537448833927887,-5.42484454832496,"NQO2",0.361214411138818,0.649603049762666,"no"
"TSNAX",0.370142840080167,12.5988196653631,2.98295126822072,0.00454794179776702,0.0720423967195733,-2.19072068217286,"TSNAX",0.0484190312925331,2.34218510182739,"yes"
"RPL3",0.369772969669148,10.9495045263838,2.37809791164594,0.0229618903120098,0.168445622823217,-3.49230865591861,"RPL3",0.113210751639967,1.63899236199349,"no"
"RAPH1",0.368538973648331,13.2020513115443,2.03648449683728,0.0473343159608844,0.246384940909743,-4.21726543227307,"RAPH1",0.165593049469946,1.32482389459097,"no"
"PTGES2",0.36808271311091,13.9152542481373,4.05798860503033,0.00018472117437506,0.0147930873812027,0.689385692876306,"PTGES2",0.00994229777795591,3.73348331903097,"yes"
"RPS15A",0.367837436080732,13.2008608311727,4.0857148936589,0.000169167937489329,0.0143444459935805,0.769669889288098,"RPS15A",0.00964077003352281,3.77168194561699,"yes"
"GSTT1",0.367776154320859,15.2370340205179,1.7137244564566,0.0939183926021749,0.351405331780684,-4.72233317904095,"GSTT1",0.236176286889539,1.0272493489114,"no"
"GPD1",0.36585828522168,17.3999606414267,2.28243086348476,0.0270143544536766,0.181968186658761,-3.74773498107335,"GPD1",0.122299142244976,1.56840540608354,"no"
"MRPL3",0.365013245878375,10.5125941720426,2.5495644410117,0.0141686596011858,0.129266600095628,-3.18567458355369,"MRPL3",0.0868788913210752,1.84867123340414,"no"
"NUP133",0.363604641686729,10.0598903507523,3.23776326012911,0.00228777740991422,0.0503485669678067,-1.5647522121402,"NUP133",0.0338388081262446,2.64058623265374,"yes"
"HMGB1",0.361141493666482,14.0151223037104,3.37411576229042,0.00148813874759164,0.0398745431851229,-1.20207726219876,"HMGB1",0.0267993132123459,2.82735657517168,"yes"
"GAPDH",0.360984924745772,20.2480696441347,2.42462238809396,0.01920614513271,0.153809212271119,-3.45698383859983,"GAPDH",0.103373754915789,1.71655979368023,"no"
"VCL",0.360690286263903,14.2978838583403,5.17332485438964,4.62789375714007e-06,0.00190603110026212,4.07339756219362,"VCL",0.00128102594708733,5.3346166197327,"yes"
"ENDOG",0.36035570798737,13.2654261441175,3.22982786029402,0.00225786112011387,0.0500724123791407,-1.57592624903624,"ENDOG",0.0336532071707094,2.64630277482164,"yes"
"ATP5MG",0.360298289398706,15.2755533909648,2.01088150955382,0.0500702169446794,0.251047713828714,-4.26361449365884,"ATP5MG",0.168726856202563,1.30042052688204,"no"
"MRPL53",0.35803339642551,10.3753549321971,3.67001853999688,0.000637980320554738,0.0287390197524892,-0.424055632481845,"MRPL53",0.0193152304764236,3.19519271752696,"yes"
"ADHFE1",0.356996626072943,15.2208978893651,2.33259766480551,0.0239840424964549,0.172636363598927,-3.64672153648743,"ADHFE1",0.116027309916725,1.62007761498448,"no"
"ATP5ME",0.354797380277457,16.4159898592445,1.74113259241598,0.0881765559917447,0.340311928948059,-4.72153846680379,"ATP5ME",0.228720513020933,1.05464686789335,"no"
"ETFDH",0.354282201989225,14.8110066078052,3.06122737123071,0.00363178434113636,0.0652370606514344,-1.99980945279866,"ETFDH",0.0438452276013256,2.4398799482113,"yes"
"CPPED1",0.353868032510338,13.0908492503859,3.01980759762707,0.00407328504054319,0.0674901193786552,-2.10169742143674,"CPPED1",0.0453594876202122,2.39005519776974,"yes"
"LDAF1",0.351532965496862,11.0136748393646,0.908462245513289,0.370183124969653,0.671182732724968,-5.59916344525127,"LDAF1",0.451095732771321,0.431583382718721,"no"
"THEM4",0.351424714965296,11.1230619741809,2.11019915608027,0.0411128922555462,0.231500914790507,-4.03247566818122,"THEM4",0.155589632603745,1.3860219699129,"no"
"MYO18B",0.350479257905342,10.5241176908672,1.79623657437067,0.0821485791109536,0.331236858149481,-4.48771697095202,"MYO18B",0.222621241522669,1.08539994397096,"no"
"DHRS4",0.349484903427713,10.3141863337704,2.68220837602501,0.010397108229271,0.109397310310176,-2.87539447196857,"DHRS4",0.0735249246613175,1.98308743519206,"no"
"GSTK1",0.347575982811843,15.0009073476087,2.80022334174363,0.00737788976567898,0.0901290516714089,-2.62616589587037,"GSTK1",0.0605749054994812,2.13206783792935,"no"
"ACOT13",0.347498579880227,13.0285641428714,2.65857359905676,0.010680726945752,0.110696998184641,-2.94974729831613,"ACOT13",0.0743984329110388,1.97139918758979,"no"
"CD38",0.347379605938226,11.1087477078486,1.70951447149892,0.0939243865493151,0.351405331780684,-4.77147803057608,"CD38",0.236176286889539,1.02722163277368,"no"
"PHKB",0.347181495716194,13.8309698210045,1.85435954312246,0.069942331736566,0.304597798182054,-4.53619167152088,"PHKB",0.204717374676217,1.15525989328151,"no"
"RPS19",0.34605300902671,12.3961344648217,2.3686488341943,0.0220907653848483,0.165853324490932,-3.5670661918662,"RPS19",0.111468491807065,1.65578923674705,"no"
"RHOT1",0.345671321744408,10.3470722154586,2.60804667494174,0.0122984359913642,0.118981177728533,-3.05333554234611,"RHOT1",0.0799661536814904,1.91015011486209,"no"
"CAPRIN1",0.345342667478402,15.4686650513344,2.6044821326883,0.0122661959327131,0.118981177728533,-3.07010378636935,"CAPRIN1",0.0799661536814904,1.91129010243864,"no"
"SUPV3L1",0.343472162628329,11.0944372957382,3.05707643804293,0.00370922002315223,0.0652370606514344,-2.00999538501344,"SUPV3L1",0.0438452276013256,2.4307174044695,"yes"
"CKMT2",0.3423413485996,19.6319498300515,2.36286329941191,0.0223064953142244,0.166605248681111,-3.58494863422667,"CKMT2",0.111973853129727,1.65156865854882,"no"
"GMPPB",0.341910695401554,12.7887629918662,2.26811354387296,0.0279396065249517,0.18645806854499,-3.77624525382061,"GMPPB",0.12531675050689,1.55377971437236,"no"
"ISCA2",0.339723648999065,13.3183793696191,3.88262797539658,0.000320402300307881,0.0196536134422898,0.187515340084763,"ISCA2",0.0132090125759938,3.49430437458707,"yes"
"ATP1B1",0.338939462414453,14.1977393572854,4.93919113157752,1.0246731985221e-05,0.00300577981888678,3.34166618596784,"ATP1B1",0.00202015693169745,4.98941462310467,"yes"
"ACO2",0.338656792742,17.9231630480281,2.82782033626854,0.00685635606353798,0.0865925293115451,-2.56174591117955,"ACO2",0.0581980413943692,2.16390663676537,"no"
"ACAT1",0.337906760835125,17.002645223802,2.48170037002977,0.0166922007884462,0.139488738762581,-3.33647075267418,"ACAT1",0.0937490965686656,1.77748639985359,"no"
"MAPKAPK2",0.33711589061256,11.883545481254,2.04131970768523,0.0469552720169089,0.246384940909743,-4.20068566450306,"MAPKAPK2",0.165593049469946,1.32831563919528,"no"
"SNTA1",0.336839286129033,14.4712464102643,4.36247423445294,6.94681994193465e-05,0.00870768777939026,1.58376183626448,"SNTA1",0.00585235675482956,4.15821395767345,"yes"
"S100A1",0.336758543966074,16.90295811798,2.86210294007986,0.00625609099284805,0.0850769355300988,-2.48110926232505,"S100A1",0.0571794247731556,2.20369694322755,"no"
"PNPT1",0.336015700767508,12.7002644703017,4.67442701002165,2.48869317317195e-05,0.0039860568990304,2.52569103864732,"PNPT1",0.00267899212847168,4.60402864353294,"yes"
"IDI1",0.335826358021951,13.7727941146241,2.47866620242876,0.0168179463874361,0.13972950845815,-3.34293068539829,"IDI1",0.0939109156634612,1.77422703630593,"no"
"CLPB",0.335676346675918,12.3818447129325,2.86287725384155,0.0062431147455595,0.0850769355300988,-2.47928023781321,"CLPB",0.0571794247731556,2.20459868286378,"no"
"TRMT10C",0.335631481457705,12.3255950272438,3.62521210305481,0.000705683708873134,0.0303654646668843,-0.529065568479828,"TRMT10C",0.0204083491231035,3.15138990839578,"yes"
"SDHB",0.335049054140718,17.2154935572526,3.20361080394774,0.002433141372457,0.0522321947701615,-1.64277888118406,"SDHB",0.0351047770231528,2.61383265658737,"yes"
"CA8",0.334519958193553,15.165257578445,1.5749639144912,0.121945538116817,0.393225597441013,-4.97493215394538,"CA8",0.264283302256497,0.913834085524055,"no"
"MICOS10",0.334338758757882,13.505122054348,2.03699721422977,0.047280879035882,0.246384940909743,-4.21633227967348,"MICOS10",0.165593049469946,1.32531445774262,"no"
"UQCRC2",0.33410461201607,17.6053053958747,2.91631517306878,0.00540566843343766,0.0788970865426358,-2.3522355194441,"UQCRC2",0.0530260051878547,2.26715059606691,"no"
"SMIM11",0.333261912533214,10.8424457095793,1.6314934261478,0.109442530278846,0.375495883641847,-4.89125598416894,"SMIM11",0.25236732491067,0.960813874748253,"no"
"API5",0.332853056894386,9.30949256702661,2.04832054166853,0.0461140038069625,0.243492075046654,-4.19567398216517,"API5",0.163648780967952,1.33616716891523,"no"
