"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"TUBB4A",0.636787409350976,10.8221635746212,3.61586997890946,0.00149323804635906,0.0486097077896297,-1.10809296859063,"TUBB4A",0.0286299964433065,2.82587095317294,"+"
"NTMT1",0.636399258731146,14.4504238784259,2.05787851511481,0.0508734660289899,0.251392579153902,-4.30740054382783,"NTMT1",0.148064429397482,1.29350867270901,""
"PROB1",0.623735106255648,13.2681468973055,5.13258476811638,3.16845367135877e-05,0.00648175093912252,2.46572108446172,"PROB1",0.0038176017666386,4.49915263867929,"+"
"AKR1C2",0.615846466330368,13.3660588805315,4.20744860603172,0.000323956385307894,0.0193293976567043,0.291460323145883,"AKR1C2",0.0113845692831086,3.48951345551907,"+"
"CAMK2D",0.615649863557303,15.6317527191707,5.36328748002285,1.78347707665163e-05,0.00638484793441282,3.00292185968502,"CAMK2D",0.00376052813245444,4.74873246835405,"+"
"SMIM11",0.612933981834983,11.0249499248738,2.74126508433926,0.0117813267097056,0.124157601236393,-2.99710675620874,"SMIM11",0.0731259627642884,1.9288058003587,""
"MYO18B",0.61248725069029,10.277182510819,3.30905479342629,0.00594385043168939,0.0921332671254555,-2.07637823603059,"MYO18B",0.0542643687867373,2.22593212749601,""
"ARG1",0.611966574507075,13.0883744933912,2.20720532958565,0.037800213535172,0.215698038881474,-4.02857465258388,"ARG1",0.127041168663891,1.42250574680603,""
"STAU2",0.610374651731307,10.2953335833059,1.92134695769261,0.0761032200964373,0.306553617941204,-4.35114745113258,"STAU2",0.180553008656675,1.11859696687559,""
"MESD",0.609940968115849,9.60947981877026,2.09968607531097,0.0567262463715121,0.266798408086954,-4.05724646889507,"MESD",0.15713810722061,1.24621595315438,""
"SERPINH1",0.608074407794577,11.6363483186652,4.72412738244021,8.82515978917482e-05,0.0103825896402895,1.50733842327598,"SERPINH1",0.00611510576776629,4.05427742249213,"+"
"HTD2",0.602396928532688,9.63288943178459,1.24671086019443,0.242455825334797,0.525657444177789,-5.06634419371359,"HTD2",0.309600107499892,0.615367376900632,""
"RHOT1",0.602268066714453,10.3732928972448,2.8137092225003,0.00974024120667435,0.117704855763356,-2.84903114120739,"RHOT1",0.0693254445480068,2.01143028814904,""
"ARPC1A",0.599732858991786,10.6856938237108,2.85526192838356,0.0107376487338247,0.122713660222224,-2.77742690248856,"ARPC1A",0.0722755148192214,1.96909080743712,""
"GSN",0.597969109132494,14.6720871974483,4.47518581579461,0.000165145089015424,0.0125613650697475,0.921128603162405,"GSN",0.00739835423052411,3.78213433656666,"+"
"TRPT1",0.596293852326946,9.99756200795621,2.67914471086662,0.0168184516036869,0.143782376480873,-3.11190949333842,"TRPT1",0.0846845026321214,1.77421399016288,""
"EEF1A1",0.591089120832375,14.8687537352654,4.60157466951256,0.000120131713119322,0.0110986202056045,1.21879344763287,"EEF1A1",0.00653683125163439,3.92034232969413,"+"
"COX7A2",0.584419483838641,14.8443797112488,2.37703913860707,0.0259694538596879,0.181811800798536,-3.72408203407391,"COX7A2",0.107082956201678,1.58553718353273,""
"LNPEP",0.578659294706735,9.98228650185152,3.57722921673865,0.00156013009665202,0.0486097077896297,-1.17104303607404,"LNPEP",0.0286299964433065,2.80683918504151,"+"
"TUBB2A",0.577209477409706,10.3222841871368,4.30049834154203,0.000256361463190278,0.0166868006949308,0.510045149834679,"TUBB2A",0.00982814063835939,3.5911472583329,"+"
"RAB35",0.576511926154136,10.6876217869881,3.47205541473335,0.00202038227230832,0.0551083316942003,-1.41012184484295,"RAB35",0.0324575359973282,2.69456645082711,"+"
"ACTG1",0.574704663493804,8.32997294475448,1.76990535926947,0.0932488316312687,0.328570210459297,-4.68860030072584,"ACTG1",0.193520273718515,1.03035660101281,""
