"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"TUBG1",-0.0211500620976874,10.8026241113006,-0.17381853223396,0.863513670865444,0.955001216678292,-6.28423711008008,"TUBG1",0.676797848049196,0.0637307824341864,""
"CALR",-0.0211720599265348,14.9338510335543,-0.353433338625883,0.726699360362139,0.894109415738042,-6.27584075098227,"CALR",0.633644562880048,0.138645222070832,""
"UBAP2L",-0.0214317760651106,11.474379387618,-0.180891697517487,0.85789763791616,0.953887922731843,-6.32214908447989,"UBAP2L",0.676008870052054,0.0665645279324205,""
"RPS23",-0.0214975366075194,11.1563414070181,-0.163721625685548,0.871254568578726,0.957864330492421,-6.32512713239646,"RPS23",0.678826902289422,0.0598549315873873,""
"MTX1",-0.0217289990957692,12.0512630767405,-0.337638827661207,0.738428074410353,0.900023732922083,-6.28131432141733,"MTX1",0.637835968160936,0.131691800159663,""
"ARMT1",-0.0219757063499468,12.8529843541779,-0.34411020603928,0.733614547872274,0.898001420398189,-6.27910163505181,"ARMT1",0.636402779657768,0.134532065017961,""
"NCSTN",-0.0220042658116508,11.8134161541238,-0.200234955699692,0.842901853496199,0.947451027534314,-6.31843964108724,"NCSTN",0.6714471200336,0.0742229911718119,""
"CAPN1",-0.0221718707208396,14.8452044237624,-0.388225973511499,0.70110486304414,0.882462247467943,-6.26291044260208,"CAPN1",0.625390355154023,0.154217020499135,""
"MAIP1",-0.0221811842374606,11.4630742888303,-0.272298231199474,0.787608484151415,0.921341190031818,-6.30132020496932,"MAIP1",0.652943392995359,0.103689614270464,""
"WARS1",-0.0223072475525932,14.749715078974,-0.27401994907805,0.786299963632281,0.920695172923271,-6.3008476621575,"WARS1",0.652485568459398,0.1044117444206,""
"LRRC47",-0.0223727478383484,12.8342830551502,-0.306621681176566,0.76164723603679,0.910616728441625,-6.29134146763153,"LRRC47",0.645343096368539,0.118246129599975,""
"RBM20",-0.0226692920195291,10.4249882642889,-0.183630451384827,0.856131100957864,0.953767053783168,-6.21430884969294,"RBM20",0.675923211685415,0.0674597259035014,""
"FAH",-0.0230516587370673,12.8162843574808,-0.189704941368325,0.851058099276102,0.952042354615654,-6.3205055325738,"FAH",0.674700938179664,0.070040790874602,""
"MYOM1",-0.0230966885135899,18.9272739817193,-0.345482137751556,0.732595497861574,0.897656561295968,-6.27862720066783,"MYOM1",0.636158382169904,0.135135754603884,""
"PFKM",-0.0234819506108579,18.6986821631526,-0.449114121476139,0.657182943632888,0.861678371967961,-6.23740252816358,"PFKM",0.610661073173172,0.182313716664614,""
"TFB2M",-0.0236196842971967,12.8680850620076,-0.0748236943572784,0.940945021130917,0.983294297040233,-6.33580612829351,"TFB2M",0.696848812979113,0.026435751404848,""
"MRPL47",-0.0237242845164847,10.1366079442658,-0.10593555571097,0.916856806376332,0.979028169550882,-6.13791842772232,"MRPL47",0.693825459863042,0.0376984866381472,""
"XRCC5",-0.0238366389987839,12.338339083282,-0.276077632923666,0.784736945557009,0.920695172923271,-6.30027902717344,"XRCC5",0.652485568459398,0.105275900246859,""
"MTHFD1",-0.0240574517611893,14.5749997203878,-0.542982383179582,0.591906364923459,0.829943073322228,-6.19094612014087,"MTHFD1",0.588170649647496,0.227746989921247,""
"EMD",-0.0247831047774074,12.4352517021216,-0.306397202916445,0.761816141279413,0.910616728441625,-6.29141054565141,"EMD",0.645343096368539,0.118149829792275,""
"OXSR1",-0.0248055282692103,15.1298110675504,-0.343416164714017,0.734130260988471,0.898001420398189,-6.27934093273081,"OXSR1",0.636402779657768,0.134226873858743,""
"ILVBL",-0.0249033839976374,13.7244023172914,-0.231634862041072,0.818689744198531,0.935353387234722,-6.31161930679303,"ILVBL",0.662873668211502,0.0868806500231485,""
"ADK",-0.0250384267773942,12.5804049004155,-0.344091581110319,0.733628385615971,0.898001420398189,-6.27910806296669,"ADK",0.636402779657768,0.134523873251495,""
"TMX2",-0.0255344723606701,11.1363166645792,-0.174591762965041,0.863699634902349,0.955001216678292,-6.06884113698516,"TMX2",0.676797848049196,0.0636372639844355,""
"NLRX1",-0.0256581841009993,14.1763424655167,-0.300282601715408,0.76642158114621,0.912952723011238,-6.29327286181904,"NLRX1",0.646998587555521,0.115532274753164,""
"GORASP2",-0.0257085620799469,12.9519131075151,-0.274607093210949,0.785853875097854,0.920695172923271,-6.30068583765212,"GORASP2",0.652485568459398,0.104658200956046,""
"HSD17B12",-0.0258864569356572,13.6133349157238,-0.358765333535053,0.722755037302291,0.892082660167255,-6.2739370350713,"HSD17B12",0.632208225643116,0.141008872794676,""
"ACTN2",-0.026011189076776,20.3818240809602,-0.486801198619463,0.630600931443864,0.852091498307895,-6.21978641726015,"ACTN2",0.60386697139682,0.200245392102812,""
"TKFC",-0.0261713505402117,12.1407761843151,-0.360304220452782,0.721618096993529,0.891910308704751,-6.27338235114266,"TKFC",0.632086082239639,0.141692583939123,""
"RPL30",-0.0263608483121711,11.2057403635543,-0.281313122381302,0.780764227277358,0.919338650524613,-6.29881315389296,"RPL30",0.65152421739072,0.107480093205029,""
"PPP1R7",-0.026428173907652,12.6503888070657,-0.411022813632497,0.684525565500646,0.87465460130399,-6.25378853828764,"PPP1R7",0.619857170452466,0.164610327298407,""
"RAC1",-0.0266425085399291,13.6980242511299,-0.473160660510236,0.640166132518808,0.853005938096306,-6.22632331128965,"RAC1",0.604515023849695,0.193707305589045,""
"TXNRD2",-0.0266652264714455,12.2167137805893,-0.284143536139881,0.778714114170145,0.917678721715311,-6.27787471428237,"TXNRD2",0.650347845856914,0.108621953657955,""
"ASPSCR1",-0.0267659240931302,10.6180128248868,-0.216805647877067,0.83042932078889,0.942520187059735,-6.22477192718532,"ASPSCR1",0.667952692839176,0.0806973251603403,""
