"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"HPR",-0.315712941522921,10.305752370348,-1.64852068154278,0.11221918581864,0.183381009702492,-6.78748014888561,"HPR",0.0626935233146236,0.949932886548215,""
"IRGQ",-0.315904423641555,10.3918486315185,-2.06603116229971,0.0497325049448063,0.0934892722632833,-6.08259670873519,"IRGQ",0.031961716645656,1.30335966551523,"+"
"LYRM7",-0.315963611660974,14.0912239934318,-3.48193232825609,0.00183930825070259,0.00565014970146085,-3.00843795894539,"LYRM7",0.00193164926190738,2.73534548100622,"+"
"ARHGEF6",-0.316481667318202,9.87725869606285,-1.93565059780418,0.0706649344781511,0.125816982220738,-6.12071281931809,"ARHGEF6",0.0430137772773111,1.15079603939186,"+"
"ENDOD1",-0.318119120726337,14.5129976867006,-5.28235272044544,1.77505457558543e-05,9.84880087190133e-05,1.59721245837148,"ENDOD1",3.3670663504654e-05,4.75078828964481,"+"
"CYB5A",-0.318675004813,13.5617677450879,-4.45633480023374,0.000151222423744164,0.000640458282809974,-0.547686248475481,"CYB5A",0.000218957166560116,3.82038380548633,"+"
"C11orf54",-0.319533346147916,13.9265079727602,-4.03770436337698,0.000446770165945153,0.00165901813891177,-1.62152201271773,"C11orf54",0.000567178098430084,3.34991583555193,"+"
"RHOG",-0.320897775816652,11.0894344507928,-3.643227900266,0.0012841477779461,0.00412165368638977,-2.62670475313158,"RHOG",0.00140909351465399,2.89138499538432,"+"
"AP2A1",-0.320994700574532,11.0716269836075,-4.04398545751976,0.000439600136168157,0.00163451323357069,-1.60555217202064,"AP2A1",0.000558800465125438,3.35694218172382,"+"
"RBKS",-0.321247072149026,14.1496899309222,-3.47653295240084,0.00186438485441941,0.00570880624406714,-3.02160137816635,"RBKS",0.00195170251239067,2.72946443377463,"+"
"LGALSL",-0.321687434044557,13.1112606606271,-4.02578991604295,0.000460689817651187,0.00170187735217464,-1.65180032485082,"LGALSL",0.000581830624830183,3.33659138658989,"+"
"PPP1R1A",-0.322018978957905,13.1910192884636,-3.25727540666539,0.00321667436136266,0.00907324009515399,-3.54970992568961,"PPP1R1A",0.00310192091518942,2.49259290248675,"+"
