"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"GTPBP3",3.00649974039959,17.1144003192772,2.7828573588914,0.0235322769304781,0.357664602219382,-3.1456411764185,"GTPBP3",0.284068870302634,1.62833604942827,""
"MYH7B",1.50490126922229,15.0985407273381,1.36022431573519,0.195108687998352,0.695952205949457,-4.84892653313294,"MYH7B",0.552747897616732,0.70972339146794,""
"THY1",1.40718607620022,12.1430952596187,5.99630311628636,4.02001410798661e-06,0.00992331376158546,4.09710577178223,"THY1",0.00788141882763987,5.39577242278369,"+"
"GCC2",1.34799416118997,11.8142984997118,1.56053522234885,0.178236923246847,0.673905497938301,-4.41424387617317,"GCC2",0.535237684417664,0.74900232329973,""
"ENG",1.07571133097295,11.9870007444757,2.65895156096141,0.0550107027645272,0.474152777452273,-3.83917722584275,"ENG",0.376587571165644,1.25955280688069,""
"UCHL5",1.02710432234129,8.53211013520979,2.07060166554494,0.0649414952812698,0.501233841660364,-3.8969631798479,"UCHL5",0.398096233942026,1.18747771594211,""
"CALML5",0.963112565846423,9.08291439838642,3.20062633234484,0.0106680747875604,0.297773932177051,-2.57265020959343,"CALML5",0.236501750506536,1.97191394838983,""
"S100A13",0.936039343906165,13.5109843927431,4.6070645983687,0.000102283549784465,0.0420093150900483,1.32728315280143,"S100A13",0.033365165593037,3.99019420805034,"+"
"LCN1",0.920640605313219,11.5064168347239,2.58294876994231,0.029298360038629,0.371069537934178,-3.3004462968813,"LCN1",0.294715506624352,1.53315668838674,""
"YBX1",0.905497701494477,8.68512709301344,3.28517500078606,0.00351379950627822,0.184809793068993,-1.735458854025,"YBX1",0.146781953853434,2.45422302252232,""
"SRP54",0.899080415579279,14.1890046847212,3.00143462000574,0.00946156684036626,0.287115113496932,-2.4824707546642,"SRP54",0.228036169729369,2.0240369382516,""
"IGFN1",0.852927416354227,12.5032194541304,2.17599519741783,0.0416525841237584,0.420179576687036,-3.80112780603258,"IGFN1",0.333720298103509,1.38035804981841,""
