"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"MYH7B",2.57743858372107,13.2368558182676,2.0595183098912,0.0589748414363603,0.43083147522593,-3.93648441650835,"MYH7B",0.364260908808372,1.22933321811352,""
"ANKRD1",1.33582992821301,12.2874806229971,1.28020090326935,0.237689240211163,0.652036201717361,-4.72160831141541,"ANKRD1",0.551285857861181,0.623990477601581,""
"FTL",1.07175950446374,12.5460195725785,4.47807205379364,0.000147703929033724,0.0530072475319777,1.01236582963465,"FTL",0.0448167538114598,3.83060795198006,"+"
"RALB",1.04857990643742,10.2092223249967,2.32463827021522,0.0497756044535647,0.401420675242091,-3.74057579383261,"RALB",0.339394562343606,1.30298345738285,""
"MYL6B",0.953872345752799,17.1238333736524,3.29810144132467,0.00294980911067986,0.187416045272145,-1.63300050633681,"MYL6B",0.158457176185427,2.53020608736446,""
"NGRN",0.928554626433121,12.2499381320399,1.37908503208872,0.198832228880325,0.617355287092941,-4.70087639134664,"NGRN",0.52196371636079,0.701513219081345,""
"C4orf54",0.892513342782994,10.7222842532495,2.18959747796009,0.0495941390455359,0.401083868168264,-3.73248161646408,"C4orf54",0.339109797515917,1.30456964469087,""
"FTH1",0.857121946300268,15.2874008072524,4.71675283980267,7.98217935112191e-05,0.0327383384529586,1.55611182586074,"FTH1",0.0276797253763716,4.097878518305,"+"
"IGFN1",0.841890755110731,11.7000596293088,2.12826276770664,0.0495187026445133,0.401083868168264,-3.85235406047179,"IGFN1",0.339109797515917,1.30523074205154,""
"UQCC3",0.813096772462076,12.1024200938383,2.44552012544567,0.0219432043640007,0.312284697119166,-3.37115989723666,"UQCC3",0.264031562503464,1.65869995214927,""
"FDX2",0.708930773832067,10.8959767840072,1.37628174023062,0.185897528204682,0.602943612653437,-4.90448656816117,"FDX2",0.509778883240064,0.730726384806927,""
"TIMMDC1",0.704618881577504,10.1745411003331,3.37720867853524,0.00252351065834756,0.187416045272145,-1.48356194994295,"TIMMDC1",0.158457176185427,2.597994856632,""
"PANX1",0.697526241798228,9.6582696073116,2.20906912652527,0.0434829404426008,0.381107134005784,-3.72659858933085,"PANX1",0.32221979815542,1.36168109533972,""
"FAM114A1",0.68823687262473,8.01003309012219,1.77325693885213,0.104608638095772,0.515115229335582,-4.26060457342225,"FAM114A1",0.435521433248151,0.980432451965552,""
"ALDH1A1",0.683061163632555,16.820556790463,4.98327981908493,4.01771450135753e-05,0.031700608927546,2.16129277684047,"ALDH1A1",0.0268023421725891,4.396020927441,"+"
"COX7C",0.651255061215867,15.5812744832759,3.29386315625333,0.00298074629565788,0.187416045272145,-1.6421616897698,"COX7C",0.158457176185427,2.52567498709543,""
"GGT5",0.63448976198085,11.491884592542,2.47475794335395,0.0270622753834832,0.324254450413583,-3.31287559397702,"GGT5",0.274151791558107,1.56763569092588,""
"MCEE",0.6291131528781,12.9650767708974,3.33446626460315,0.00269683584308598,0.187416045272145,-1.55423802752437,"MCEE",0.158457176185427,2.56914548833082,""
"RBM3",0.617854752288688,13.4405267975382,3.37043369882521,0.00246736723837917,0.187416045272145,-1.47606417514027,"RBM3",0.158457176185427,2.60776620611142,""
"MCM7",0.609950602913999,12.7264951405072,1.55539657504794,0.20048574861824,0.617355287092941,-4.41804556780276,"MCM7",0.52196371636079,0.697916493449951,""
"LTBP4",0.588738490732519,10.6084700539879,3.30540663855563,0.00312738728893327,0.191036785245264,-1.65649839707301,"LTBP4",0.161518452134394,2.50481833332963,""
"RPS6KA5",0.583268151817716,13.0233677146494,2.06761038699707,0.0493046179202211,0.401083868168264,-4.04825724592205,"RPS6KA5",0.339109797515917,1.30711240235874,""
"UBL4A",0.58304663350196,9.35061414244192,1.93491139811196,0.114457673361566,0.531728123335043,-4.16221736627488,"UBL4A",0.449567361213389,0.941355086459283,""
