"","logFC","AveExpr","t","P.Value","adj.P.Val","B","protein","q","-log10p","regulated_q"
"MYH7B",2.94356328573694,13.3430309681504,3.4177346053337,0.00430163320214145,0.120643500700543,-1.8224142685356,"MYH7B",0.0921101989925527,2.3663666244175,""
"KRT16",1.63498583634381,17.2944867466716,4.05211699886625,0.000472750763236003,0.076513026236464,-0.00666494288482422,"KRT16",0.0584169891559804,3.32536776133238,""
"KRT6A",1.45459386513719,16.3379183954629,3.96751645727208,0.000584708495453805,0.076513026236464,-0.197089040566119,"KRT6A",0.0584169891559804,3.23306059608592,""
"KRT6C",1.4446567080916,15.2182288223035,3.98030899732819,0.000648970744338986,0.076513026236464,-0.269001413145911,"KRT6C",0.0584169891559804,3.18777488079366,""
"KRT71",1.40425548843686,12.527629646341,3.22376209335647,0.00367096914526232,0.114558178435306,-1.83643106147654,"KRT71",0.0874641116233202,2.43521926575442,""
"MYBPH",1.33626305272815,14.6991714519593,3.41550675533898,0.00230274971531234,0.0972234475391429,-1.42202353072159,"MYBPH",0.0742292046199898,2.63775326271561,""
"KRT6B",1.27393695181292,16.7738959621669,3.46640158026955,0.00203255006931943,0.0911789257658762,-1.31084654605949,"KRT6B",0.0696142680497026,2.69195874730275,""
"KRT14",1.21340476560373,18.0185577924828,3.53436389149879,0.00171948781148721,0.0866078860838556,-1.16170802263683,"KRT14",0.0661243214527544,2.76460089830816,""
"THY1",1.20781143220672,11.8991696258158,5.91195797194265,4.48718146474679e-06,0.0056945892717568,4.14306691421333,"THY1",0.00434776633599472,5.34802636694015,"+"
"POSTN",1.14624302842059,10.3611927885736,1.86648963308023,0.0808258009209296,0.395316651522979,-4.23403871308508,"POSTN",0.301820613836743,1.09244998317398,""
"KRT17",1.11993173458421,14.7486481298331,3.80206056595831,0.00088475765109372,0.076513026236464,-0.567939860009349,"KRT17",0.0584169891559804,3.0531756730381,""
"KRT5",1.04338261825315,17.6359445137632,3.00167717434483,0.00624368951372351,0.138551130246114,-2.30594143567707,"KRT5",0.105782508825651,2.20455870167452,""
"JUP",1.02913863747079,15.3201248127657,3.08047428668348,0.00517770911361528,0.131550467833535,-2.14079696765634,"JUP",0.100437567704431,2.28586235210515,""
"S100A13",1.01886207022241,13.1164706668365,5.79683784105128,5.95045900915026e-06,0.0056945892717568,3.89443406897607,"S100A13",0.00434776633599472,5.22544953217862,"+"
"CSTA",0.99868677226746,13.4308191894639,3.50673391338451,0.00184062820239496,0.0880740594845987,-1.22242998979403,"CSTA",0.067243731308369,2.73503392793009,""
"SBSN",0.994645136937802,12.5455655598883,3.70898272809399,0.00111572117624742,0.0771536240771049,-0.775402576952204,"SBSN",0.0589060796932493,2.95244432398857,""
"CTNNB1",0.98901479111383,13.9865478749899,3.26044682979487,0.00335933695953514,0.11085811966466,-1.75773517792973,"CTNNB1",0.0846391509112276,2.47374643190494,""
"FLG",0.9776214967301,14.3514580264249,3.64719148124674,0.00130079425290436,0.0785079967239144,-0.912571320072871,"FLG",0.0599401307053908,2.8857913905211,""
"DSP",0.975663488040968,12.9819564208376,2.53745511176748,0.0181889160262457,0.214396094237546,-3.23909774172263,"DSP",0.163689438625164,1.74019318207161,""
"UBE2D3",0.962606393154314,13.2258702243154,2.63008621385214,0.0147703289261794,0.198190839735354,-3.05903706380768,"UBE2D3",0.151316876421197,1.83060983310822,""
"RALB",0.948030245803654,10.3680364937583,2.47578468687343,0.0270667105485108,0.254782052409097,-3.3953507637847,"RALB",0.194523744842124,1.56756452137896,""
"FLG2",0.927196590376621,11.5923405009369,2.76193663342337,0.0130056542244083,0.186696166391381,-2.82555391654061,"FLG2",0.142540799442995,1.88586779657044,""
"CDSN",0.926166352653512,11.414122100958,3.08994311410934,0.00586062720785669,0.137101568762136,-2.17993068782352,"CDSN",0.104675782015125,2.2320559030374,""
"KRT9",0.919994015511953,20.0210226403545,2.96892895677356,0.00674596213420008,0.141987268655228,-2.37407010204472,"KRT9",0.108405968778252,2.1709561008809,""
"LIPE",0.846078626976729,10.383402512715,4.5088807571568,0.000180195470279241,0.0587244164142287,0.867118817707444,"LIPE",0.0448355497828472,3.74425613043496,"+"
"DSC1",0.84324331370113,16.5107461060713,2.80116895870721,0.00998415706666367,0.174783627673118,-2.7180050429836,"DSC1",0.133445686109295,2.00068859546526,""
"KRT1",0.842347332017376,20.2068525961548,2.98937358497247,0.00642804826893073,0.139810049849243,-2.3315733631716,"KRT1",0.106743682320175,2.19192087073079,""
"KRT2",0.801910298705966,18.3633329275276,2.44581456784029,0.0222844811814005,0.233824803366304,-3.41377143440857,"KRT2",0.178523078677275,1.65199747253485,""
"DSG1",0.799761278843842,16.8711633293753,2.68724751014992,0.0129716065080689,0.186696166391381,-2.94626965507103,"DSG1",0.142540799442995,1.88700623406369,""
"CASP14",0.791372747105378,14.7330022016765,3.76026174137064,0.000981988549314333,0.076513026236464,-0.661223229432066,"CASP14",0.0584169891559804,3.0078935763664,""
