"","protein","group"
"87","HGS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"88","PPP1R12A","Male_type_I, Male_type_II, Female_type_II"
"89","HNRNPDL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"90","XPO1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"91","ATP2A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"92","MAST4","Male_type_I, Female_type_I"
"93","SYNM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"94","PFAS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"95","LSM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"96","ARPC1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"97","ARPC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"98","ARPC3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"99","PGRMC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"100","PFDN6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"101","LAMA5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"102","NDUFA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"103","RER1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"104","SURF4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"105","TCAP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"106","INPP4B","Male_type_I"
"107","EIF3D","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"108","EIF3H","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"109","BCAT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"110","STX7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"111","SLC16A3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"112","YKT6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"113","DDX3Y","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"114","DHX15","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"115","CYB5B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"116","NDUFS4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"117","DYNC1LI2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"118","PSMD3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"119","ZW10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"120","TGFB1I1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"121","SRGAP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"122","HSPA12A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"123","HNRNPR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"124","TXNL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"125","TPD52L2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"126","EMC8","Male_type_I"
"127","ERI3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"128","PPIH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"129","HTRA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"130","AKR7A2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"131","EPB41L2","Male_type_I, Female_type_I"
"132","LAMTOR5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"133","DENR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"134","DNPH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"135","TIMM44","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"136","TRAPPC3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"137","NDUFB5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"138","NDUFB3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"139","NDUFC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"140","NDUFA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"141","GET3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"142","BUB3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"143","ACTN4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"144","GSTZ1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"145","TRIAP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"146","GATC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"147","HTATSF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"148","PRKAB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"149","AP1G1","Male_type_I, Female_type_I"
"150","SGTA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"151","ENSA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"152","SLC25A20","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"153","NARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"154","MYO1B","Male_type_I"
"155","LANCL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"156","SLC37A4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"157","IDH3B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"158","NRDC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"159","CALU","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"160","NDUFS5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"161","TIMM8A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"162","PPP1R12B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"163","PRPSAP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"164","PRKN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"165","SPAG9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"166","OPA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"167","TBC1D4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"168","SNX3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"169","SYNCRIP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"170","DIAPH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"171","KLHL41","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"172","PLIN3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"173","KPNA6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"174","UGDH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"175","ABCC9","Male_type_I, Male_type_II, Female_type_II"
"176","CTNND1","Male_type_I, Female_type_I"
"177","EIF1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"178","SNX2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"179","USO1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"180","TOM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"181","H2BC12","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"182","PFKFB2","Male_type_I, Female_type_I"
"183","CCDC22","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"184","EIF5B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"185","EDF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"186","DNAJA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"187","CUTA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"188","PFDN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"189","NOL3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"190","ABCB7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"191","WDR1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"192","LDB3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"193","CLASP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"194","CPNE3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"195","CLUH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"196","CAND2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"197","PPP6R2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"198","COQ9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"199","GGCT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"200","NDUFS7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"201","RTN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"202","NDUFS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"203","NIPSNAP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"204","PPFIA4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"205","PDCD6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"206","TBCA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"207","ATP6V1G1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"208","MACROH2A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"209","SH3BGRL","Male_type_I, Male_type_II, Female_type_I"
"210","FLNB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"211","NDUFS6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"212","PEX14","Male_type_I, Female_type_I"
"213","CS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"214","SEC22B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"215","MTX2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"216","VPS26A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"217","NDUFB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"218","PMPCB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"219","ERN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"220","NDUFS3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"221","HSBP1","Male_type_I, Male_type_II"
"222","ECI2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"223","BANF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"224","SF3B1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"225","CSDE1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"226","PRKRA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"227","RPS6KA5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"228","LYPLA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"229","CREG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"230","SNRNP200","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"231","TIPRL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"232","PPM1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"233","NUP155","Male_type_I, Female_type_I, Female_type_II"
"234","SLC25A12","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"235","TCEA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"236","CDC123","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"237","EIF3G","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"238","EIF3J","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"239","PSMD10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"240","IDH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"241","SCO1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"242","ATRN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"243","ALDH1L1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"244","ARL6IP5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"245","DYSF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"246","ATP5PD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"247","FLOT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"248","ATP5MG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"249","MPDZ","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"250","GLRX3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"251","DDAH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"252","ALDH1A2","Male_type_I, Male_type_II, Female_type_I"
"253","TPPP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"254","LTN1","Male_type_I, Male_type_II, Female_type_II"
"255","TOMM70","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"256","SUN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"257","PLPBP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"258","ERLIN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"259","PRPF6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"260","ENDOD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"261","GLS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"262","AP2A2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"263","SEC31A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"264","NDUFB6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"265","MFN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"266","GABARAP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"267","NDUFA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"268","NDUFB4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"269","NDUFB8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"270","NDUFA7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"271","VAMP5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"272","RTN3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"273","LETM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"274","STBD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"275","ZRANB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"276","ATE1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"277","EPM2A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"278","VAPB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"279","NDUFC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"280","NDUFA10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"281","FKBP9","Male_type_I"
"282","PGLS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"283","ATG7","Male_type_I, Male_type_II, Female_type_II"
"284","TACC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"285","LYPLA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"286","IPO7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"287","ARIH2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"288","PGM3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"289","SVIL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"290","AHSA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"291","H6PD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"292","MPC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"293","ETHE1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"294","ACSL3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"295","SNAP29","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"296","OXSR1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"297","LSM8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"298","AP2A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"299","CAVIN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"300","BAG2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"301","BAG3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"302","MLYCD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"303","AIFM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"304","EML2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"305","BPNT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"306","DDAH2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"307","ABHD16A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"308","TXNDC12","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"309","NUDT3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"310","NDUFB10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"311","MOCS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"312","TOMM40","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"313","ACTL6A","Male_type_I, Male_type_II, Female_type_II"
"314","MT-CYB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"315","CYB5A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"316","ADH1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"317","ADH1C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"318","LDHA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"319","ALDH1A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"320","GLUD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"321","CYB5R3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"322","GSR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"323","MT-CO1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"324","MT-CO2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"325","MT-CO3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"326","SOD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"327","CP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"328","F13A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"329","PNP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"330","HPRT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"331","GOT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"332","PGK1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"333","AK1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"334","F2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"335","HP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"336","HPR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"337","PLG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"338","F12","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"339","CFB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"340","ADA","Male_type_I, Female_type_I"
"341","MT-ATP6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"342","CA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"343","CA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"344","ASS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"345","SERPINC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"346","SERPINA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"347","SERPINA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"348","A2M","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"349","C3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"350","CST3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"351","CSTA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"352","KNG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"353","IGKV3-20","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"354","IGHV3-7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"355","IGHV3-9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"356","IGKC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"357","IGHG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"358","IGHG2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"359","IGHG3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"360","IGHG4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"361","IGHM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"362","IGHA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"363","HLA-B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"364","HLA-DRA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"365","HLA-DRB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"366","HBD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"367","MB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"368","COL1A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"369","COL4A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"370","CRYAB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"371","KRT14","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"372","KRT6A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
