"","protein","group"
"645","JUP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"646","UQCRB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"647","CPA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"648","FABP4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"649","GLUL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"650","AKR1B1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"651","GSPT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"652","PGAM2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"653","EZR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"654","UCHL3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"655","NME1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"656","ARSB","Male_type_I, Female_type_I"
"657","RPS2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"658","DSP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"659","RPA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"660","COX7C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"661","CD44","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"662","NQO2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"663","PFKFB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"664","CBR1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"665","ANK1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"666","ACADS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"667","PPP3CB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"668","NCK1","Male_type_I, Male_type_II, Female_type_II"
"669","H1-2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"670","POR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"671","EPB42","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"672","ATP2A2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"673","CD36","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"674","FAH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"675","YBX3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"676","TMEM11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"677","GOT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"678","UBTF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"679","CKMT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"680","NDUFB7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"681","PRKACA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"682","CAPN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"683","DES","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"684","PFKL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"685","LGALS3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"686","PSMC3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"687","TCP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"688","RPL7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"689","VCL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"690","RPL17","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"691","PGAM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"692","RCC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"693","ATP5PF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"694","TNNI1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"695","NCL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"696","HK1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"697","NDUFV2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"698","ORM2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"699","ITIH2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"700","ITIH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"701","TYMP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"702","ATP2B1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"703","HLA-DPA1","Male_type_I"
"704","EIF2S2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"705","ANXA7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"706","TPSB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"707","BTF3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"708","RAB4A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"709","RAB6A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"710","PSMB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"711","COX5A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"712","LMNB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"713","OGN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"714","CAPN3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"715","CAST","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"716","NEB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"717","FLG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"718","GSTM3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"719","ATP6V1B2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"720","CSRP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"721","FLNA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"722","MAOA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"723","ACO1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"724","GPD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"725","VDAC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"726","BGN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"727","RYR1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"728","SDHB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"729","CD9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"730","BCKDHB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"731","COMT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"732","TGM2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"733","MMUT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"734","OSBP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"735","PCMT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"736","FBL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"737","GART","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"738","TNXB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"739","PAICS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"740","ACHE","Male_type_I, Female_type_I"
"741","SCP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"742","UBA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"743","GPX3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"744","NME2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"745","HNRNPA2B1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"746","UQCRC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"747","CA4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"748","FECH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"749","AMPD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"750","ITGA6","Male_type_I, Female_type_I"
"751","SFPQ","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"752","TUBG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"753","PPIB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"754","S100A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"755","HRC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"756","ME2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"757","WARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"758","RPS3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"759","AHCY","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"760","CFL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"761","EIF4B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"762","CPT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"763","DTYMK","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"764","CMA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"765","LAMA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"766","GPT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"767","COX7A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"768","EEF1B2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"769","ATP5PB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"770","ACP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"771","ACAT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"772","MYL9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"773","AZGP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"774","MPST","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"775","RPS12","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"776","DNAJB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"777","ATP5F1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"778","PSMA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"779","PSMA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"780","PSMA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"781","PSMA4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"782","MSN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"783","DDX6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"784","U2AF2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"785","RPL13","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"786","IVD","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"787","S100A4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"788","HMGB2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"789","PTBP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"790","VARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"791","EEF1G","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"792","PLN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"793","FKBP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"794","STOM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"795","AK4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"796","PON1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"797","MAOB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"798","YWHAQ","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"799","MAPK3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"800","RPL10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"801","RPA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"802","APEX1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"803","CALR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"804","MAP4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"805","CANX","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"806","PSMB8","Male_type_I, Male_type_II, Female_type_I"
"807","PSMA5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"808","PSMB4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"809","PSMB6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"810","PSMB5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"811","GSTM2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"812","TMOD1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"813","NDUFS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"814","MAPK1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"815","LAP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"816","CD34","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"817","CD38","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"818","TPP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"819","IMPA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"820","ARID4A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"821","TKT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"822","NOS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"823","SERPINB3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"824","PML","Male_type_I, Female_type_I"
"825","SERPINA4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"826","EEF1D","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"827","MARCKS","Male_type_I, Male_type_II, Female_type_I"
"828","AQP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"829","GNA11","Male_type_I, Female_type_I, Female_type_II"
"830","ALDH4A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"831","ERP29","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"832","PRDX6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"833","BLVRB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"834","PRDX5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"835","DDT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"836","PRDX3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"837","ATP5F1D","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"838","RPL12","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"839","ECHS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"840","CMPK1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"841","PEBP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"842","PDIA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"843","PPP2R1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"844","PPIF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"845","HMOX2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"846","LRPAP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"847","ADSL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"848","CLIP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"849","SRI","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"850","GSTT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"851","SERPINB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"852","ALDH1B1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"853","POLR2B","Male_type_I"
"854","SDHA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"855","GDI1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"856","S100A7","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"857","MAT2A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"858","PRKAR1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"859","CASQ1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"860","AKT2","Male_type_I, Male_type_II, Female_type_II"
"861","UQCRC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"862","HIBADH","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"863","ATIC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"864","HNRNPH3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"865","HNRNPH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"866","CASP14","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"867","YWHAB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"868","STIP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"869","S100A11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"870","PRDX2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"871","GBP2","Male_type_I, Female_type_I"
"872","RPL9P9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"873","ACSL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"874","KIF5B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"875","ABCC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"876","SHMT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"877","SHMT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"878","EPHX2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"879","HSPA4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"880","MPI","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"881","PRSS3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"882","GPC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"883","PFN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"884","CA8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"885","CTNNA1","Male_type_I, Male_type_II, Female_type_I"
"886","CTNNB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"887","PHB1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"888","SERPINB6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"889","RDX","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"890","RPA3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"891","RFC4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"892","RPL22","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"893","SPR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"894","KRT9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"895","FBN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"896","AGL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"897","MYH9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"898","MYH10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"899","ACTN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"900","ADD1","Male_type_I, Male_type_II"
"901","BSG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"902","FUS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"903","MYH11","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"904","GLRX","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"905","PPM1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"906","KRT2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"907","HMGCL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"908","PSMC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"909","ARL3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"910","MAP2K2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"911","ATP5F1C","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"912","ATP6V1E1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"913","CPOX","Male_type_I, Female_type_I"
"914","RPL4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"915","LONP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"916","PGM1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"917","GNL1","Male_type_I, Male_type_II, Female_type_II"
"918","SERPINF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"919","DLST","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"920","GMPR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"921","GPX4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"922","SRP14","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"923","NUP62","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"924","TAGLN2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"925","TALDO1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"926","SNCA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"927","ETFB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"928","RBMX","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"929","ATP6V1A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"930","HSPA9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"931","RPS19","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"932","RPL3","Male_type_I, Female_type_I"
"933","COL15A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"934","COL18A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"935","DDOST","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"936","ANP32A","Male_type_I, Male_type_II, Female_type_I"
"937","CAPG","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"938","CAP2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"939","CCT6A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"940","RPL13A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"941","ARL1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"942","STAT3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"943","MDH1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"944","MDH2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"945","HADHA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"946","EIF2S3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"947","NAA10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"948","PPP1R2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"949","CSK","Male_type_I, Female_type_II"
"950","GARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"951","IARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"952","EIF1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"953","ACTR1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"954","ECI1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"955","TMPO","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"956","STAT1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"957","AKR1C3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"958","MTOR","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"959","CASP3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"960","RPS27","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"961","LRPPRC","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"962","ACAA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"963","RPL35","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"964","PAFAH1B1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"965","CRAT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"966","MATR3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"967","GPD2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"968","SSR1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"969","RANBP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"970","NAMPT","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"971","AFM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"972","PSMC4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"973","TSFM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"974","TNNT3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"975","ASPA","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"976","VDAC2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"977","ACADSB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"978","USP5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"979","MAP2K4","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"980","PHKA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"981","RANGAP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"982","CRK","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"983","CRKL","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"984","MTIF2","Male_type_I, Male_type_II, Female_type_I"
"985","BAG6","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"986","NSF","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"987","CDKN1B","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"988","MAP2K3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"989","BRCC3","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"990","RPL27A","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"991","RPL5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"992","RPL21","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"993","RPL28","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"994","RPS9","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"995","RPS5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"996","RPS10","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"997","GNPDA1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"998","UTRN","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"999","IQGAP1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1000","GYG1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1001","CAPZA2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1002","CAPZB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1003","QARS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1004","UQCRFS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1005","ATP5PO","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1006","LIMS1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1007","PREP","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1008","ME1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1009","ARCN1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1010","LSS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1011","GCLC","Male_type_I, Male_type_II, Female_type_I"
"1012","GCLM","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1013","KCNC1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1014","PSMD8","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1015","PRRC2A","Male_type_I, Female_type_I"
"1016","GSS","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1017","CCT5","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1018","KRT6C","Male_type_I, Female_type_I"
"1019","NES","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1020","CSNK1A1","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1021","IDH2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1022","PITPNB","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
"1023","TNNI2","Male_type_I, Male_type_II, Female_type_I, Female_type_II"
